"species","longitude","latitude"
"Araucaria angustifolia",-46.3478,-22.0806
"Araucaria angustifolia",-44.1428,-21.0667
"Araucaria angustifolia",-48.9997,-25.3856
"Araucaria angustifolia",-49.4261,-24.5339
"Araucaria angustifolia",-49.8794,-24.8017
"Araucaria angustifolia",-49.3292,-25.1814
"Araucaria angustifolia",-49.1283,-25.1828
"Araucaria angustifolia",-43.916011,-21.953646
"Araucaria angustifolia",-45.427395,-22.719416
"Araucaria angustifolia",-49.3736,-25.5836
"Araucaria angustifolia",-49.2022,-25.9314
"Araucaria angustifolia",-49.8019,-23.9036
"Araucaria angustifolia",-51.3353,-24.0181
"Araucaria angustifolia",-49.7186,-24.1111
"Araucaria angustifolia",-51.084225,-29.563713
"Araucaria angustifolia",-50.9792,-24.1683
"Araucaria angustifolia",-49.9111,-24.1861
"Araucaria angustifolia",-52.3503,-24.1953
"Araucaria angustifolia",-52.9189,-24.2106
"Araucaria angustifolia",-49.4867,-24.2508
"Araucaria angustifolia",-51.0883,-24.4736
"Araucaria angustifolia",-50.4067,-24.4781
"Araucaria angustifolia",-52.8475,-24.5433
"Araucaria angustifolia",-52.1936,-24.5622
"Araucaria angustifolia",-50.9825,-24.8331
"Araucaria angustifolia",-52.9972,-24.9869
"Araucaria angustifolia",-50.6475,-24.9947
"Araucaria angustifolia",-53.6625,-25.0919
"Araucaria angustifolia",-50.0325,-25.2206
"Araucaria angustifolia",-52.7278,-25.4514
"Araucaria angustifolia",-51.7517,-25.5969
"Araucaria angustifolia",-50.2614,-25.6614
"Araucaria angustifolia",-50.3256,-25.8542
"Araucaria angustifolia",-53.3425,-25.8789
"Araucaria angustifolia",-49.5033,-25.8911
"Araucaria angustifolia",-53.1636,-26.1958
"Araucaria angustifolia",-52.2247,-26.3217
"Araucaria angustifolia",-51.1589,-23.9486
"Araucaria angustifolia",-50.1589,-24.6747
"Araucaria angustifolia",-51.8369,-24.7708
"Araucaria angustifolia",-52.1631,-24.8764
"Araucaria angustifolia",-51.8961,-25.1928
"Araucaria angustifolia",-52.4064,-25.2411
"Araucaria angustifolia",-51.4678,-25.3517
"Araucaria angustifolia",-51.0594,-25.8072
"Araucaria angustifolia",-51.9911,-25.8511
"Araucaria angustifolia",-50.8883,-26.0717
"Araucaria angustifolia",-51.8164,-26.2519
"Araucaria angustifolia",-51.3344,-26.2658
"Araucaria angustifolia",-51.3844,-26.5136
"Araucaria angustifolia",-49.8183,-28.5497
"Araucaria angustifolia",-50.0742,-28.9133
"Araucaria angustifolia",-50.2006,-29.3133
"Araucaria angustifolia",-50.0325,-29.3475
"Araucaria angustifolia",-52.6353,-28.3811
"Araucaria angustifolia",-52.1256,-28.6531
"Araucaria angustifolia",-51.5089,-29.0897
"Araucaria angustifolia",-52.9453,-29.1869
"Araucaria angustifolia",-52.8653,-29.4547
"Araucaria angustifolia",-53.8156,-29.5686
"Araucaria angustifolia",-52.6789,-27.3447
"Araucaria angustifolia",-52.9967,-27.3583
"Araucaria angustifolia",-52.5489,-27.5122
"Araucaria angustifolia",-51.3983,-27.8383
"Araucaria angustifolia",-52.8283,-27.9058
"Araucaria angustifolia",-51.785887,-25.046811
"Araucaria angustifolia",-51.9308,-27.9183
"Araucaria angustifolia",-53.5203,-28.0028
"Araucaria angustifolia",-52.3467,-28.0842
"Araucaria angustifolia",-51.5881,-28.1142
"Araucaria angustifolia",-52.1889,-28.2869
"Araucaria angustifolia",-50.5633,-28.4158
"Araucaria angustifolia",-51.2922,-28.4694
"Araucaria angustifolia",-51.3064,-28.6608
"Araucaria angustifolia",-50.9411,-28.6703
"Araucaria angustifolia",-50.9558,-29.0103
"Araucaria angustifolia",-52.4311,-29.2703
"Araucaria angustifolia",-50.6744,-28.9275
"Araucaria angustifolia",-50.5367,-29.2342
"Araucaria angustifolia",-52.5447,-29.4064
"Araucaria angustifolia",-49.1497,-27.6281
"Araucaria angustifolia",-49.7706,-27.54
"Araucaria angustifolia",-49.2286,-26.0989
"Araucaria angustifolia",-50.04,-26.37
"Araucaria angustifolia",-50.2728,-26.4283
"Araucaria angustifolia",-50.3997,-26.5478
"Araucaria angustifolia",-50.13,-26.64
"Araucaria angustifolia",-50.0375,-26.8186
"Araucaria angustifolia",-50.2178,-27.1825
"Araucaria angustifolia",-50.0383,-27.3614
"Araucaria angustifolia",-49.59,-27.63
"Araucaria angustifolia",-48.8719,-27.8983
"Araucaria angustifolia",-49.2283,-26.2781
"Araucaria angustifolia",-49.6814,-26.2794
"Araucaria angustifolia",-49.7708,-26.5497
"Araucaria angustifolia",-50.3103,-27.0003
"Araucaria angustifolia",-50.2336,-27.3611
"Araucaria angustifolia",-49.59,-27.81
"Araucaria angustifolia",-49.3222,-27.8117
"Araucaria angustifolia",-49.4094,-28.0803
"Araucaria angustifolia",-49.05,-28.5
"Araucaria angustifolia",-50.1328,-26.1031
"Araucaria angustifolia",-50.4911,-26.1906
"Araucaria angustifolia",-51.0614,-26.27
"Araucaria angustifolia",-53.2939,-26.3286
"Araucaria angustifolia",-50.7658,-26.3731
"Araucaria angustifolia",-52.5642,-26.4606
"Araucaria angustifolia",-52.8408,-26.4636
"Araucaria angustifolia",-52.74,-26.73
"Araucaria angustifolia",-52.4703,-26.8197
"Araucaria angustifolia",-52.2942,-26.8222
"Araucaria angustifolia",-50.6714,-27.0886
"Araucaria angustifolia",-51.3881,-27.2697
"Araucaria angustifolia",-51.7061,-27.405
"Araucaria angustifolia",-50.22,-27.6308
"Araucaria angustifolia",-51.1628,-27.6333
"Araucaria angustifolia",-51.0336,-27.9019
"Araucaria angustifolia",-50.8497,-28.035
"Araucaria angustifolia",-50.5803,-26.3814
"Araucaria angustifolia",-51.03,-26.46
"Araucaria angustifolia",-51.9303,-26.64
"Araucaria angustifolia",-51.5728,-26.6417
"Araucaria angustifolia",-50.6708,-26.7303
"Araucaria angustifolia",-52.0169,-26.82
"Araucaria angustifolia",-51.9319,-27.0014
"Araucaria angustifolia",-51.2092,-27.0908
"Araucaria angustifolia",-51.0211,-27.1975
"Araucaria angustifolia",-50.8164,-27.8358
"Araucaria angustifolia",-50.5794,-27.9014
"Araucaria angustifolia",-50.2358,-28.1997
